group_k,group_l,epsilon_kl/kB [K],sigma_kl [Ang],sigma_kl [m],lambda_r_kl,lambda_a_kl,d_kl [Ang],d_kl [m],C_kl (Mie prefactor),a1_kl [K.m3],source_eps,source_sigma,source_lambda_r,source_lambda_a
C,cCH2,152.9108,5.221150,5.221150e-10,12.3236,6.0000,4.945379,4.945379e-10,3.858000,-6.964192e+02,CR,CR,CR,CR
C,cCH,186.9720,5.534350,5.534350e-10,8.0000,6.0000,5.244411,5.244411e-10,9.481481,-1.261880e+03,CR,CR,CR,CR
C,cNH,176.7127,5.319050,5.319050e-10,12.0805,6.0000,5.044602,5.044602e-10,3.963307,-8.249902e+02,CR,CR,CR,CR
C,cN,91.8577,5.134550,5.134550e-10,7.4735,6.0000,4.721802,4.721802e-10,12.403147,-6.144321e+02,CR,CR,CR,CR
C,cCHNH,185.9332,5.578550,5.578550e-10,8.5845,6.0000,5.292707,5.292707e-10,7.629222,-1.171166e+03,CR,CR,CR,CR
C,cCHN,184.3985,5.051264,5.051264e-10,8.0008,6.0000,4.764749,4.764749e-10,9.478251,-1.231369e+03,CR,CR,CR,CR
CH2OH,CH2OH,407.2200,3.405400,3.405400e-10,22.6990,6.0000,3.402446,3.402446e-10,2.192509,-1.691398e+03,self,self,self,self
CH2OH,CH2OH_Short,407.2200,3.405400,3.405400e-10,22.6990,6.0000,3.402446,3.402446e-10,2.192509,-1.691398e+03,CR,CR,CR,CR
CH2OH,NH2,528.2100,3.326570,3.326570e-10,52.3050,6.0000,3.281446,3.281446e-10,1.495434,-1.715141e+03,database,CR,database,CR
CH2OH,NH,313.2500,3.331096,3.331096e-10,21.2993,6.0000,3.260572,3.260572e-10,2.288096,-1.271960e+03,database,CR,CR,CR
CH2OH,N,440.9900,3.240444,3.240444e-10,13.7781,6.0000,3.102846,3.102846e-10,3.363727,-1.985058e+03,database,CR,CR,CR
CH2OH,OH,402.9190,3.102200,3.102200e-10,21.6738,6.0000,3.098687,3.098687e-10,2.260906,-1.697295e+03,CR,CR,CR,CR
CH2OH,OH_Short,402.9354,3.102600,3.102600e-10,21.6738,6.0000,3.099087,3.099087e-10,2.260906,-1.697363e+03,CR,CR,CR,CR
CH2OH,cCH2,422.2636,4.095300,4.095300e-10,21.5064,6.0000,4.091954,4.091954e-10,2.272903,-1.783299e+03,CR,CR,CR,CR
CH2OH,cCH,492.9558,4.408500,4.408500e-10,12.9245,6.0000,4.390986,4.390986e-10,3.629067,-2.529801e+03,CR,CR,CR,CR
