Group_k,Group_l,a1_kl [K.m^3],Delta_kl [m^3],eps_kl/kB [K],sigma_kl [A],d_kl [A],lambda_r_kl,lambda_a_kl
CH2OH_Short,cCH2,-1.783299e+03,0.000000e+00,422.2636,4.0953,4.0920,21.5064,6.0000
CH2OH_Short,cCH,-2.529801e+03,0.000000e+00,492.9558,4.4085,4.3910,12.9245,6.0000
CH2OH_Short,cNH,-2.044724e+03,2.224699e-25,480.6594,4.1932,4.1912,21.0237,6.0000
CH2OH_Short,cN,-1.316649e+03,0.000000e+00,257.2269,4.0087,3.8684,11.8794,6.0000
CH2OH_Short,cCHNH,-2.404713e+03,3.644311e-25,487.2531,4.4527,4.4393,14.0847,6.0000
CH2OH_Short,cCHN,-2.687063e+03,0.000000e+00,523.6069,3.9254,3.9113,12.9260,6.0000
NH2,NH2,-1.634140e+03,2.230707e-26,284.7837,3.2477,3.1604,10.2538,6.0000
NH2,NH,-1.766633e+03,5.930310e-26,381.9759,3.2523,3.1396,14.1044,6.0000
NH2,N,-7.454922e+02,0.000000e+00,133.7651,3.1616,2.9818,9.5403,6.0000
NH2,OH,-1.173742e+03,2.511280e-25,241.9400,3.0234,2.9777,14.3317,6.0000
NH2,OH_Short,-1.173761e+03,2.511401e-25,241.9434,3.0238,2.9781,14.3317,6.0000
NH2,cCH2,-1.624086e+03,0.000000e+00,332.1468,4.0165,3.9710,14.2301,6.0000
NH2,cCH,-2.565915e+03,0.000000e+00,405.3020,4.3297,4.2700,9.0224,6.0000
NH2,cNH,-1.957193e+03,2.326793e-26,396.3025,4.1144,4.0702,13.9372,6.0000
NH2,cN,-1.385578e+03,0.000000e+00,212.6450,3.9299,3.7474,8.3882,6.0000
NH2,cCHNH,-6.105707e+02,4.094466e-26,101.6112,4.3739,4.3183,9.7264,6.0000
NH2,cCHN,-2.743503e+03,0.000000e+00,433.4098,3.8466,3.7903,9.0233,6.0000
NH,NH,-3.546097e+02,3.010565e-27,100.0029,3.2568,3.1187,19.9990,6.0000
NH,N,-3.039042e+02,0.000000e+00,79.2576,3.1661,2.9610,13.0122,6.0000
NH,OH,-7.715551e+02,2.783001e-25,188.6100,3.0279,2.9568,20.3469,6.0000
NH,OH_Short,-7.715565e+02,2.783241e-25,188.6078,3.0283,2.9572,20.3469,6.0000
NH,cCH2,-2.305573e+03,0.000000e+00,549.4246,4.0210,3.9501,20.1914,6.0000
NH,cCH,-1.254183e+03,0.000000e+00,240.4249,4.3342,4.2491,12.2193,6.0000
NH,cNH,-9.967463e+02,1.559756e-26,235.0479,4.1189,4.0493,19.7430,6.0000
NH,cN,-6.192698e+02,0.000000e+00,126.1007,3.9344,3.7265,11.2484,6.0000
NH,cCHNH,-1.187951e+03,3.464945e-26,237.5223,4.3784,4.2974,13.2971,6.0000
NH,cCHN,-1.337316e+03,0.000000e+00,256.9973,3.8511,3.7694,12.2207,6.0000
N,N,-3.029651e+02,0.000000e+00,62.9706,3.0755,2.8032,8.8971,6.0000
N,OH,-1.173607e+03,1.672162e-25,260.9900,2.9372,2.7991,13.2171,6.0000
N,OH_Short,-1.173657e+03,1.671996e-25,260.9902,2.9376,2.7995,13.2171,6.0000
N,cCH2,-3.129443e+03,0.000000e+00,650.2408,3.9303,3.7924,13.1255,6.0000
N,cCH,-1.230688e+03,0.000000e+00,186.5381,4.2435,4.0914,8.4300,6.0000
N,cNH,-8.953692e+02,0.000000e+00,182.9785,4.0282,3.8916,12.8615,6.0000
N,cN,-6.390066e+02,0.000000e+00,98.4774,3.8437,3.5688,7.8582,6.0000
N,cCHNH,-1.144542e+03,0.000000e+00,184.1669,4.2877,4.1397,9.0649,6.0000
N,cCHN,-1.319467e+03,0.000000e+00,201.0077,3.7605,3.6117,8.4309,6.0000
